MLBAMID,PlayerId,Name,Team,Age,Season,TBF,K%,Rk,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru
621345,18655,A.J. Minter,ATL,27,2021,221,0.25791855,696,52.1,221,876,3.9638009049773757,578,0.66,0.249,0.235,0.268,0.247,0.7509999999999999,0.0,0.495,0.687,0.643,0.04524886877828054,10,6,0.2895927601809955,64,44,7,11,46,0.19298245614035087,11,4,0,0,0
621345,18655,A.J. Minter,ATL,28,2022,271,0.34686347,649,70.0,272,1111,4.084558823529412,743,0.669,0.2289999999999999,0.256,0.301,0.214,0.7709999999999999,0.0,0.516,0.6679999999999999,0.6579999999999999,0.029411764705882353,8,8,0.3235294117647059,88,50,2,23,71,0.24468085106382978,12,0,0,0,0
621345,18655,A.J. Minter,ATL,29,2023,260,0.31538462,647,64.2,260,1062,4.084615384615384,697,0.6579999999999999,0.2339999999999999,0.241,0.3,0.225,0.7659999999999999,0.0,0.503,0.685,0.612,0.023076923076923078,6,5,0.27307692307692305,71,40,4,13,69,0.15853658536585366,8,1,0,0,0
640462,19343,A.J. Puk,OAK,27,2022,281,0.27046263,773,66.1,281,1072,3.814946619217082,702,0.655,0.2739999999999999,0.212,0.2689999999999999,0.245,0.726,0.0,0.476,0.708,0.609,0.046263345195729534,13,6,0.28113879003558717,79,48,6,22,54,0.2894736842105263,15,4,0,0,0
640462,19343,A.J. Puk,MIA,28,2023,242,0.32231405,755,56.2,242,950,3.925619834710744,650,0.684,0.295,0.2319999999999999,0.243,0.2289999999999999,0.705,0.0,0.482,0.67,0.649,0.024793388429752067,6,4,0.30991735537190085,75,42,6,22,56,0.28205128205128205,16,0,0,0,0
676879,23550,Aaron Ashby,MIL,23,2021,133,0.29323308,57,31.2,133,536,4.030075187969925,353,0.659,0.309,0.204,0.258,0.2289999999999999,0.691,0.0,0.455,0.705,0.594,0.045112781954887216,6,6,0.24060150375939848,32,19,3,8,31,0.20512820512820512,6,0,0,0,0
676879,23550,Aaron Ashby,MIL,24,2022,475,0.26526316,43,107.1,475,1878,3.953684210526316,1207,0.643,0.312,0.204,0.239,0.245,0.688,0.0,0.442,0.7040000000000001,0.617,0.042105263157894736,20,11,0.3431578947368421,163,98,22,26,100,0.20634920634920634,25,9,0,0,0
607481,16258,Aaron Bummer,CHW,27,2021,242,0.30991736,140,56.1,242,962,3.975206611570248,595,0.619,0.314,0.22,0.24,0.225,0.6859999999999999,0.0,0.424,0.679,0.599,0.07024793388429752,17,6,0.24380165289256198,59,29,1,14,61,0.18666666666666668,11,8,0,0,0
607481,16258,Aaron Bummer,CHW,29,2023,267,0.29213483,117,58.1,268,1101,4.108208955223881,684,0.622,0.357,0.209,0.218,0.216,0.643,0.0,0.4,0.675,0.597,0.07462686567164178,20,10,0.22761194029850745,61,33,3,22,56,0.28205128205128205,14,7,0,0,0
650644,19479,Aaron Civale,CLE,26,2021,498,0.19879518,195,124.1,500,1902,3.804,1214,0.638,0.257,0.16,0.283,0.3,0.743,0.0,0.474,0.785,0.6459999999999999,0.024,12,9,0.234,117,48,2,30,68,0.30612244897959184,15,3,0,0,0
650644,19479,Aaron Civale,CLE,27,2022,407,0.24078624,189,97.0,407,1587,3.8992628992628995,1017,0.6409999999999999,0.2689999999999999,0.177,0.278,0.275,0.731,0.0,0.4679999999999999,0.758,0.631,0.029484029484029485,12,8,0.25061425061425063,102,49,3,24,74,0.24489795918367346,10,3,0,0,0
650644,19479,Aaron Civale,- - -,28,2023,504,0.23015873,162,244.2,1008,4018,3.986111111111111,2642,0.658,0.2856666666666667,0.16333333333333333,0.2896666666666667,0.26133333333333336,0.7143333333333334,0.0,0.47,0.7716666666666666,0.6856666666666666,0.023809523809523808,24,18,0.31746031746031744,320,168,18,72,158,0.3130434782608696,32,6,0,0,0
571901,10343,Aaron Loup,NYM,33,2021,218,0.26146789,608,56.2,219,833,3.8036529680365296,552,0.6629999999999999,0.293,0.1939999999999999,0.257,0.255,0.7070000000000001,0.0,0.4679999999999999,0.726,0.639,0.0365296803652968,8,7,0.3150684931506849,69,45,0,16,41,0.2807017543859649,6,1,0,0,0
571901,10343,Aaron Loup,LAA,34,2022,260,0.2,565,58.2,260,967,3.7192307692307693,631,0.653,0.249,0.182,0.287,0.282,0.7509999999999999,0.0,0.49,0.757,0.581,0.05,13,9,0.29615384615384616,77,53,5,23,29,0.4423076923076923,10,1,0,0,0
571901,10343,Aaron Loup,LAA,35,2023,231,0.19480519,567,48.2,232,840,3.6206896551724137,575,0.685,0.263,0.153,0.299,0.285,0.737,0.0,0.505,0.792,0.638,0.0603448275862069,14,7,0.3146551724137931,73,45,4,12,33,0.26666666666666666,11,3,0,0,0
605400,16149,Aaron Nola,PHI,28,2021,749,0.29773031,736,180.2,749,2971,3.966622162883845,2007,0.6759999999999999,0.272,0.203,0.286,0.238,0.728,0.0,0.492,0.721,0.6659999999999999,0.03204272363150868,24,19,0.34979973297730305,262,150,12,56,165,0.25339366515837103,34,4,0,0,0
605400,16149,Aaron Nola,PHI,29,2022,807,0.29120198,698,205.0,811,3039,3.747225647348952,2104,0.6920000000000001,0.285,0.2,0.261,0.254,0.715,0.0,0.495,0.721,0.698,0.032059186189889025,26,16,0.31319358816276205,254,141,11,79,156,0.33617021276595743,52,9,0,0,0
605400,16149,Aaron Nola,PHI,30,2023,793,0.25472888,695,193.2,798,3093,3.8759398496240602,2075,0.672,0.267,0.19,0.28,0.263,0.733,0.0,0.492,0.74,0.644,0.021303258145363407,17,9,0.2894736842105263,231,129,13,59,140,0.2964824120603015,37,7,0,0,0
642083,15231,Aaron Slegers,LAA,28,2021,149,0.16778523,957,31.0,149,570,3.825503355704698,360,0.632,0.244,0.1889999999999999,0.267,0.3,0.7559999999999999,0.0,0.477,0.75,0.631,0.053691275167785234,8,6,0.2080536912751678,31,24,4,7,18,0.28,6,2,0,0,0
682842,25327,Abner Uribe,MIL,23,2023,127,0.30708661,960,30.2,127,518,4.078740157480315,308,0.595,0.318,0.2239999999999999,0.24,0.218,0.682,0.0,0.405,0.6709999999999999,0.583,0.09448818897637795,12,8,0.25196850393700787,32,15,0,14,25,0.358974358974359,5,4,0,0,0
643256,15288,Adam Cimber,- - -,30,2021,286,0.17832168,190,142.4,574,2046,3.5644599303135887,1376,0.672,0.24166666666666667,0.15233333333333332,0.2973333333333333,0.30866666666666664,0.7583333333333334,0.0,0.5096666666666666,0.7996666666666666,0.606,0.04529616724738676,26,14,0.29965156794425085,172,92,8,18,82,0.18,26,4,0,0,0
643256,15288,Adam Cimber,TOR,31,2022,293,0.19795222,186,70.2,293,1044,3.5631399317406145,717,0.687,0.259,0.153,0.289,0.298,0.741,0.0,0.509,0.7929999999999999,0.648,0.040955631399317405,12,9,0.3037542662116041,89,55,5,7,51,0.1206896551724138,11,2,0,0,0
493603,1247,Adam Ottavino,BOS,35,2021,276,0.25724638,754,62.0,278,1145,4.118705035971223,705,0.616,0.342,0.184,0.243,0.231,0.6579999999999999,0.0,0.405,0.72,0.55,0.07194244604316546,20,11,0.26618705035971224,74,43,4,22,49,0.30985915492957744,11,8,0,0,0
493603,1247,Adam Ottavino,NYM,36,2022,258,0.30620155,717,65.2,259,1059,4.088803088803089,681,0.643,0.316,0.204,0.248,0.2319999999999999,0.684,0.0,0.44,0.7020000000000001,0.606,0.03861003861003861,10,7,0.305019305019305,79,43,6,17,62,0.21518987341772153,8,1,0,0,0
493603,1247,Adam Ottavino,NYM,37,2023,261,0.23754789,707,61.2,261,1025,3.9272030651340994,641,0.626,0.331,0.175,0.242,0.253,0.669,0.0,0.419,0.7390000000000001,0.586,0.04980842911877394,13,6,0.26053639846743293,68,39,0,19,42,0.3114754098360656,18,4,0,0,0
592644,15846,Adam Plutko,BAL,29,2021,255,0.17254902,804,56.1,255,1014,3.976470588235294,600,0.5920000000000001,0.195,0.195,0.308,0.302,0.805,0.0,0.476,0.758,0.518,0.07450980392156863,19,11,0.21176470588235294,54,28,3,9,35,0.20454545454545456,5,7,0,0,0
592716,13339,Adrian Sampson,CHC,29,2021,145,0.19310345,908,35.1,145,554,3.820689655172414,349,0.63,0.206,0.1689999999999999,0.33,0.295,0.794,0.0,0.5,0.787,0.545,0.027586206896551724,4,4,0.16551724137931034,24,14,1,5,22,0.18518518518518517,5,0,0,0,0
592716,13339,Adrian Sampson,CHC,30,2022,428,0.17056075,846,104.1,429,1689,3.937062937062937,1057,0.626,0.2289999999999999,0.1639999999999999,0.299,0.308,0.7709999999999999,0.0,0.483,0.7879999999999999,0.573,0.04195804195804196,18,13,0.2400932400932401,103,50,4,15,58,0.2054794520547945,9,5,0,0,0
661309,21023,Adrián Martínez,OAK,25,2022,259,0.2046332,592,57.2,260,1015,3.9038461538461537,647,0.637,0.253,0.179,0.283,0.284,0.747,0.0,0.476,0.76,0.588,0.038461538461538464,10,7,0.2846153846153846,74,39,4,14,39,0.2641509433962264,9,2,0,0,0
661309,21023,Adrián Martínez,OAK,26,2023,241,0.19502075,597,55.0,242,943,3.896694214876033,570,0.604,0.247,0.174,0.281,0.298,0.753,0.0,0.455,0.769,0.525,0.03305785123966942,8,6,0.16942148760330578,41,16,2,15,32,0.3191489361702128,6,2,0,0,0
670970,20039,Adrián Morejón,SDP,23,2022,141,0.19858156,668,34.0,141,540,3.8297872340425534,358,0.6629999999999999,0.184,0.196,0.332,0.288,0.816,0.0,0.541,0.76,0.61,0.03546099290780142,5,2,0.24822695035460993,35,21,2,3,23,0.11538461538461539,5,2,0,0,0
679525,27451,Alec Marsh,KCR,25,2023,342,0.24853801,593,74.1,343,1342,3.912536443148688,831,0.619,0.265,0.218,0.266,0.252,0.735,0.0,0.455,0.7040000000000001,0.603,0.037900874635568516,13,8,0.26822157434402333,92,51,7,21,64,0.24705882352941178,14,5,0,0,0
621219,13834,Alec Mills,CHC,29,2021,517,0.16827853,690,119.0,517,1934,3.7408123791102517,1244,0.643,0.285,0.133,0.2689999999999999,0.313,0.715,0.0,0.46,0.813,0.652,0.03288201160541586,17,9,0.28433268858800775,147,84,11,22,65,0.25287356321839083,20,6,0,0,0
666201,26410,Alek Manoah,TOR,23,2021,459,0.27668845,629,111.2,460,1845,4.010869565217392,1175,0.637,0.243,0.226,0.295,0.235,0.757,0.0,0.482,0.701,0.574,0.034782608695652174,16,11,0.2847826086956522,131,78,7,18,108,0.14285714285714285,26,5,0,0,0
666201,26410,Alek Manoah,TOR,24,2022,786,0.22900763,579,196.2,787,2949,3.747141041931385,1942,0.659,0.248,0.187,0.287,0.278,0.752,0.0,0.495,0.7509999999999999,0.618,0.03303684879288437,26,16,0.2846251588310038,224,134,11,53,127,0.29444444444444445,29,10,0,0,0
666201,26410,Alek Manoah,TOR,25,2023,415,0.19036145,588,87.1,415,1689,4.069879518072289,1026,0.607,0.253,0.163,0.3229999999999999,0.261,0.747,0.0,0.4539999999999999,0.782,0.595,0.060240963855421686,25,13,0.3301204819277108,137,82,9,21,58,0.26582278481012656,10,11,0,0,0
592222,12890,Alex Claudio,LAA,29,2021,148,0.2027027,198,32.2,149,587,3.9395973154362416,355,0.605,0.29,0.183,0.237,0.29,0.71,0.0,0.429,0.742,0.564,0.04697986577181208,7,5,0.19463087248322147,29,17,3,6,24,0.2,3,1,0,0,0
502171,6562,Alex Cobb,LAA,33,2021,393,0.24936387,202,93.1,393,1579,4.017811704834606,1002,0.635,0.295,0.187,0.259,0.258,0.705,0.0,0.447,0.735,0.613,0.03816793893129771,15,9,0.22391857506361323,88,46,5,35,63,0.35714285714285715,12,6,0,0,0
502171,6562,Alex Cobb,SFG,34,2022,631,0.23930269,204,149.2,632,2418,3.8259493670886076,1550,0.6409999999999999,0.297,0.175,0.248,0.28,0.703,0.0,0.45,0.7509999999999999,0.644,0.03481012658227848,22,14,0.25158227848101267,159,93,5,53,98,0.3509933774834437,27,8,0,0,0
502171,6562,Alex Cobb,SFG,35,2023,646,0.20278638,172,151.1,646,2505,3.8777089783281733,1603,0.64,0.298,0.152,0.256,0.294,0.7020000000000001,0.0,0.45,0.7829999999999999,0.659,0.02631578947368421,17,12,0.28792569659442724,186,92,15,40,91,0.3053435114503817,22,5,0,0,0
517008,6661,Alex Colomé,MIN,32,2021,290,0.2,207,65.0,291,1108,3.8075601374570445,708,0.639,0.233,0.206,0.271,0.29,0.767,0.0,0.49,0.731,0.55,0.058419243986254296,17,12,0.21305841924398625,62,36,2,10,48,0.1724137931034483,14,4,0,0,0
517008,6661,Alex Colomé,COL,33,2022,215,0.14883721,207,47.0,215,802,3.730232558139535,482,0.601,0.226,0.156,0.284,0.3339999999999999,0.774,0.0,0.465,0.799,0.53,0.037209302325581395,8,0,0.18604651162790697,40,20,2,3,29,0.09375,3,7,0,0,0
656412,19874,Alex Faedo,DET,26,2022,244,0.18032787,294,53.2,246,967,3.930894308943089,602,0.623,0.259,0.179,0.272,0.289,0.741,0.0,0.461,0.758,0.602,0.06097560975609756,15,11,0.27235772357723576,67,33,4,11,33,0.25,13,4,0,0,0
656412,19874,Alex Faedo,DET,27,2023,262,0.22137405,257,64.2,262,1034,3.946564885496183,673,0.6509999999999999,0.267,0.172,0.288,0.272,0.733,0.0,0.477,0.765,0.664,0.03816793893129771,10,5,0.3320610687022901,87,47,4,13,45,0.22413793103448276,3,5,0,0,0
656638,19883,Alex Lange,DET,25,2021,162,0.24074074,583,35.2,163,641,3.932515337423313,401,0.626,0.2289999999999999,0.249,0.262,0.259,0.7709999999999999,0.0,0.482,0.6759999999999999,0.626,0.06748466257668712,11,5,0.2392638036809816,39,21,1,6,33,0.15384615384615385,8,6,0,0,0
656638,19883,Alex Lange,DET,26,2022,271,0.30258303,533,63.1,272,1046,3.8455882352941178,623,0.596,0.257,0.327,0.17,0.246,0.743,0.0,0.4429999999999999,0.5589999999999999,0.544,0.08088235294117647,22,12,0.2426470588235294,66,32,5,10,72,0.12195121951219512,15,9,0,0,0
656638,19883,Alex Lange,DET,27,2023,288,0.27430556,519,66.0,288,1147,3.982638888888889,664,0.579,0.292,0.2769999999999999,0.193,0.238,0.708,0.0,0.41,0.609,0.535,0.08333333333333333,24,15,0.21180555555555555,61,29,4,13,66,0.16455696202531644,12,8,0,0,0
622072,13781,Alex Wood,SFG,30,2021,585,0.25982906,1134,138.2,585,2195,3.752136752136752,1477,0.6729999999999999,0.294,0.195,0.255,0.256,0.706,0.0,0.475,0.7240000000000001,0.6459999999999999,0.02905982905982906,17,10,0.3401709401709402,199,125,14,33,116,0.2214765100671141,36,6,0,0,0
622072,13781,Alex Wood,SFG,31,2022,555,0.23603604,1055,130.2,555,2239,4.034234234234234,1475,0.659,0.27,0.182,0.289,0.259,0.73,0.0,0.481,0.75,0.634,0.023423423423423424,13,11,0.2864864864864865,159,85,11,45,86,0.3435114503816794,19,1,0,0,0
622072,13781,Alex Wood,SFG,32,2023,429,0.17249417,1047,97.2,429,1710,3.986013986013986,1088,0.636,0.281,0.156,0.282,0.28,0.7190000000000001,0.0,0.457,0.7829999999999999,0.606,0.046620046620046623,20,13,0.2680652680652681,115,81,14,21,53,0.28378378378378377,19,7,0,0,0
622065,18333,Alex Young,- - -,27,2021,246,0.17479675,1150,103.3,494,1824,3.6923076923076925,1158,0.6283333333333333,0.225,0.18666666666666668,0.27133333333333337,0.31666666666666665,0.775,0.0,0.48666666666666664,0.7583333333333333,0.5576666666666666,0.0728744939271255,36,20,0.23076923076923078,114,68,2,10,76,0.11627906976744186,16,8,0,0,0
